64 64
0000	0101	0202	0101	0000	0000	0101	0202	0B0B	1010	1313	1313	0E0E	0E0E	2525	3535	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737
0101	0101	0000	0202	0303	0707	0F0F	1B1B	2323	2929	2B2B	2828	2323	2323	2E2E	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737
0404	0202	0303	0707	1616	2121	2C2C	3333	3232	3333	3535	3434	3535	3131	3535	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737
0303	0303	0A0A	1B1B	2D2D	3232	3636	3737	3636	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	3737	3737	3737	3737
0808	0707	1919	2E2E	3434	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	3737	3737	3737	3737
0808	0E0E	2222	3434	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	3737	3737	3737	3737
0606	1616	2A2A	3535	3737	3737	3737	3737	3737	3737	3737	3737	3737	3838	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	3737	3737	3737	3737
0A0A	1D1D	3030	3636	3737	3737	3737	3737	3737	3737	3737	3636	3535	3636	3737	3636	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	7F7F	3737	3737	3737	3737
1010	2525	3535	3737	3737	3737	3737	3737	3737	3737	3737	3030	2323	2525	2E2E	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	7F7F	7F7F	7F7F	7F7F	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	7F7F	7F7F	7F7F	3737	3737	3737	3737
1B1B	2E2E	3535	3737	3737	3737	3737	3737	3737	3636	3232	2424	0A0A	0A0A	1F1F	3434	3636	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	7F7F	7F7F	7F7F	7F7F	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	7F7F	7F7F	7F7F	3737	3737	3737	3737
2222	3333	3535	3737	3737	3737	3737	3737	3737	3535	2C2C	1212	0404	0505	1414	3131	3535	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3737	3838	7F7F	7F7F	7F7F	7F7F	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	7F7F	7F7F	7F7F	3737	3737	3737	3737
2727	3333	3636	3737	3737	3737	3737	3737	3737	3535	2525	0B0B	0202	0202	0B0B	2B2B	3737	3737	3737	3737	3737	3737	6499	66E6	5FCC	3737	3737	3737	3737	3737	3737	3737	7F7F	7F7F	7F7F	7F7F	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	7F7F	7F7F	7F7F	3737	3737	3737	3737
2B2B	3535	3737	3737	3737	3737	3737	3737	3737	3232	2424	0B0B	0202	0101	0909	2626	3232	3737	3737	3737	6D5D	7833	7CF7	7DEE	7B5D	73CC	6333	3737	3737	3737	3737	3737	7E7E	7F7F	7F7F	7F7F	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	C3C3	7F7F	7F7F	7F7F	3737	3737	3737	3737
2E2E	3636	3737	3737	3737	3737	3737	3737	3737	3434	2727	0F0F	0101	0101	0606	2323	3434	3636	3737	6FEE	7DB3	8533	88A2	8977	8744	8244	7866	6233	3737	3737	3737	3838	7F7F	7F7F	7F7F	7F7F	C3C3	C3C3	C3C3	C3C3	C3C3	FFFF	FFFF	FFFF	FFFF	FFFF	FFFF	FFFF	FFFF	FFFF	FFFF	FFFF	C3C3	C3C3	C3C3	C3C3	C3C3	7F7F	7F7F	7F7F	3737	3737	3737	3737
